ID_REF,GSM1900227,GSM1900236,GSM1900265,GSM1900268,GSM1900271,GSM1900277,GSM1900280,GSM1900302,GSM1900313,GSM1900314,GSM1900321,GSM1900294,GSM1900315,GSM1900316,GSM1900317,GSM1900318,GSM1900319,GSM1900320,GSM1900323,GSM1900324
7892565,7.06613371,6.812187492,7.594742492,6.85048875,7.281530789,7.454665777,7.509446904,6.81751596,6.976790034,7.422255754,7.707225042,7.026894526,6.685160805,6.980465258,7.110588606,7.081884852,7.196676711,7.301569735,6.263494443,7.156767444
7892566,3.173032169,3.303754972,3.090289004,3.712703625,3.768290855,3.426428185,2.930602722,3.4150872,3.268450766,3.585830064,3.734068184,3.992869722,3.529412919,3.738723046,3.625458812,3.550977941,3.545398631,3.637171432,3.284345029,4.233678476
7892567,5.467576944,5.699469304,6.866109886,6.031767994,4.640717355,5.82333264,5.905911292,5.90289884,5.485250264,5.74915714,5.716055487,6.049925803,5.991390968,6.122787086,6.528985444,5.896614744,5.93618735,5.968020384,5.438460783,6.181492605
7892568,11.11043711,10.2848649,10.07292337,10.55228587,10.63788881,10.90944679,10.26711185,10.9455703,10.49045614,10.95638529,10.36522524,11.23325015,10.42719889,10.5908794,10.28081947,10.38152579,10.44237026,10.35585648,10.13591575,10.76867561
7892569,9.906736858,10.27890923,10.0840001,9.472595779,9.44456275,9.461077835,9.612229703,9.79689277,9.995048473,9.598866809,9.440467859,9.917496371,9.080251197,9.900938098,9.668480458,9.962059239,10.1169331,8.464673122,9.845272098,9.171828396
7892570,5.318604316,4.919876334,5.967097909,5.884955627,6.111133759,6.08177029,6.064396587,5.67948117,5.970102028,6.121227268,5.513058656,6.338384119,5.669506969,5.760285037,5.775824149,5.342816637,5.861723887,6.045959417,3.876130576,5.980413394
7892571,3.332962572,3.180122532,3.759462775,3.717192666,3.141590946,3.385060073,3.742650307,3.27113385,3.201480086,3.283972167,3.385673247,3.579143385,3.460171017,3.354698534,3.085501797,3.223509483,3.562389292,2.827608251,2.981501435,3.490223156
7892572,8.376267437,8.656069653,7.513378827,7.557282672,7.828880353,8.360842665,8.119999721,8.40787209,8.76176263,8.630058889,9.317696074,7.001516434,8.551531554,8.844050206,8.997755429,8.746992036,8.864278637,9.174467357,9.104735988,8.703598833
7892573,5.854560253,5.333124497,5.518765396,5.590307211,5.748342024,5.364566582,5.857245244,5.02275876,5.676191576,5.618091059,4.788460167,6.079349358,6.265617335,5.482324957,5.433681834,4.969474266,5.393422144,6.454612066,5.723278471,5.607180386
7892574,10.05154502,10.14670167,10.8516343,11.02741874,10.95901964,10.43039232,10.5561249,10.9364817,10.75143026,10.56015461,9.899730026,11.38748767,10.67351634,10.80532892,10.45419875,10.82053182,10.61632919,9.883807724,10.44377219,10.70984413
7892575,6.310188945,4.625612202,6.105836592,6.522057296,6.716191795,6.815959009,6.110719697,6.07408445,6.922285139,7.079952816,6.797530723,6.454201758,6.182966674,6.739795337,6.661509233,6.607747048,7.091452335,6.567484863,6.651312219,6.486564388
7892576,5.640942036,5.483189663,6.67181595,6.156709744,6.239619359,5.279674761,5.600168248,6.28236012,6.043430361,5.593182511,5.185372572,5.942043101,6.051767539,5.885214782,6.179592816,5.727171168,6.228299806,5.911434232,5.747984984,5.735037723
7892577,3.941088095,3.497528079,3.733971401,3.640122559,3.933641855,3.539653208,3.21598957,3.44519726,3.255981873,4.402769169,3.816643175,3.19649392,3.296745826,3.551708496,3.983969421,3.469116123,3.064429317,3.074276071,3.103873496,3.491817629
7892578,4.68851381,4.505010236,4.962700118,5.054097508,4.809923235,4.74446556,4.289993809,4.87451418,4.845456168,4.369487523,3.8044444,6.08716611,4.738674502,3.946814915,5.192377706,5.051232013,4.403537007,4.537855385,4.305803761,4.628445763
7892579,9.312559081,9.379685205,8.671902528,9.214740953,9.638253274,9.408366543,9.367144895,10.1385806,9.705707786,9.729396803,9.645740659,10.6334517,9.734190084,9.827190623,9.484719781,9.550721895,9.802434224,8.932074055,9.717932304,9.793301162
7892580,3.317493076,3.599721173,4.05293432,2.94423047,4.135415426,3.4278196,3.344530251,3.4112477,3.857147837,4.018764402,4.033577426,3.689123125,3.728591822,3.819773112,3.827805828,4.284290659,3.622539728,4.545212899,4.671882017,3.364039114
7892581,3.833056267,3.497581069,2.890184478,3.819993587,3.569065561,3.144177749,3.230543686,3.66329522,3.72473387,2.95464344,3.519965522,3.175571326,3.354264988,3.744258799,3.06989993,3.637089048,3.945574574,3.961285851,3.133766539,2.997171296
7892582,3.774833499,5.018052252,4.085071718,3.599351609,2.99368199,3.160632536,3.388654164,3.24505882,3.867604054,3.746451994,4.61260667,4.213560521,3.375764908,3.327926196,4.47630308,3.755379773,4.065401835,3.562633261,3.11684444,3.604626748
7892583,5.776475604,5.998851042,6.826202723,5.751744059,6.477227986,5.948595283,6.239839149,6.06170574,6.170650662,5.59228662,6.07081588,6.224351055,6.181845761,5.713091744,5.774687944,6.079566489,5.349852849,6.446541295,6.350875667,5.741767844
7892584,6.167630075,6.058069533,5.718852243,5.402799219,5.408689692,6.258477904,6.909805667,6.06648538,6.058632747,6.092266626,6.405428458,5.732695349,5.603154641,5.82225193,6.379242047,5.616242245,6.333427135,6.952173353,6.33739147,5.782092786
7892585,3.71725627,4.373961945,4.911387873,4.270015805,4.239079865,3.737099597,4.098877036,3.95269611,4.003024067,4.785027147,5.016466906,4.202261207,3.525721159,4.147120439,3.869759872,4.669652936,4.029785474,4.021294327,3.699684384,4.069518768
